flight_id,airline,aircraft_type,origin,destination,scheduled_arrival,scheduled_departure,passengers,priority
WN1840,Southwest,B738,LAS,NPB,05:30,06:25,162,normal
AA1972,American,A321,DFW,NPB,06:10,07:05,185,connecting
AS705,Alaska,B739,SEA,NPB,06:40,07:35,168,normal
UA2233,United,CRJ9,DEN,NPB,07:05,07:55,74,normal
DL1456,Delta,A321,ATL,NPB,07:30,08:25,182,connecting
F9812,Frontier,A20N,DEN,NPB,08:00,08:55,148,normal
WN1842,Southwest,B38M,PHX,NPB,08:30,09:25,160,normal
NK345,Spirit,A320,LAS,NPB,09:00,09:55,178,normal
G4221,Allegiant,A319,SLC,NPB,09:30,10:25,126,normal
AA1974,American,E75L,PHX,NPB,10:00,10:55,72,normal
UA2235,United,A320,SFO,NPB,10:30,11:25,150,normal
HA787,Hawaiian,B789,HNL,NPB,11:00,12:50,260,high_priority
DL1458,Delta,CRJ9,SLC,NPB,11:45,12:40,76,normal
WS503,WestJet,B738,YVR,NPB,12:15,13:10,158,normal
AC8821,Air Canada,A320,YYZ,NPB,12:50,13:45,152,connecting
WN1844,Southwest,B737,SJC,NPB,13:20,14:15,140,normal
F9814,Frontier,A21N,DEN,NPB,14:00,14:55,196,normal
NK347,Spirit,A321,LAS,NPB,14:35,15:30,200,normal
AA1976,American,A320,DFW,NPB,15:10,16:05,150,connecting
MX450,Breeze,BCS3,SJC,NPB,15:45,16:40,118,normal
AS707,Alaska,E75L,SEA,NPB,16:20,17:15,70,normal
UA2237,United,A320,DEN,NPB,16:55,17:50,148,normal
CHTR901,Charter,B77W,LHR,NPB,17:30,19:30,310,high_priority
DL1460,Delta,A321,ATL,NPB,18:15,19:10,184,normal
WN1846,Southwest,B738,LAS,NPB,18:50,19:45,162,normal
G4223,Allegiant,A320,SLC,NPB,19:25,20:20,150,normal
CHTR902,Charter,A333,CUN,NPB,20:00,21:50,275,normal
AA1978,American,CRJ9,PHX,NPB,20:45,21:40,75,normal
UA2239,United,E75L,SFO,NPB,21:20,22:15,71,connecting
WN1848,Southwest,B739,PHX,NPB,22:00,22:55,165,normal
