flight_id,airline,aircraft_type,origin,destination,scheduled_arrival,scheduled_departure,passengers,priority
AA4471,American,CRJ9,ORD,UBN,06:45,07:35,76,normal
UA5562,United,CRJ7,ORD,UBN,07:20,08:10,68,normal
DL5108,Delta,CRJ9,ATL,UBN,07:55,08:50,74,connecting
AA4473,American,E75L,DFW,UBN,08:30,09:25,72,normal
UA5564,United,E170,IAH,UBN,09:15,10:05,65,normal
DL5110,Delta,CRJ7,MSP,UBN,10:00,10:50,70,normal
AA4475,American,A319,DFW,UBN,10:45,11:40,128,high_priority
UA5566,United,CRJ9,ORD,UBN,11:30,12:20,73,connecting
DL5112,Delta,E75L,ATL,UBN,12:15,13:05,75,normal
AA4477,American,CRJ7,CLT,UBN,13:00,13:50,69,normal
UA5568,United,E170,ORD,UBN,13:45,14:35,66,normal
DL5114,Delta,CRJ9,DTW,UBN,14:30,15:20,77,normal
AA4479,American,B737,DFW,UBN,15:20,16:15,122,connecting
UA5570,United,CRJ7,IAH,UBN,16:10,17:00,71,normal
DL5116,Delta,E75L,ATL,UBN,17:05,17:55,74,normal
AA4481,American,CRJ9,ORD,UBN,18:00,18:50,76,high_priority
UA5572,United,E170,MSP,UBN,18:45,19:35,64,normal
DL5118,Delta,CRJ7,DTW,UBN,19:40,20:30,70,normal
