flight_id,airline,aircraft_type,origin,destination,scheduled_arrival,scheduled_departure,passengers,priority
AA101,American,B737,LAX,NPB,07:15,08:30,142,normal
UA205,United,CRJ900,SFO,NPB,07:45,09:00,76,normal
WN312,Southwest,B737,PHX,NPB,08:20,09:45,138,normal
AA103,American,A320,ORD,NPB,09:10,10:35,156,connecting
DL440,Delta,E175,SLC,NPB,10:00,11:15,72,normal
UA207,United,A320,DEN,NPB,10:50,12:05,148,normal
WN314,Southwest,B737,LAS,NPB,11:30,12:50,143,normal
AA105,American,B737,DFW,NPB,12:15,13:30,140,high_priority
UA209,United,CRJ900,SEA,NPB,13:00,14:20,68,normal
DL442,Delta,A320,ATL,NPB,13:45,15:05,152,connecting
WN316,Southwest,B737,SJC,NPB,14:30,15:50,135,normal
AA107,American,E175,PHX,NPB,15:15,16:30,69,normal
UA211,United,B737,ORD,NPB,16:05,17:20,144,connecting
DL444,Delta,A320,MSP,NPB,16:45,18:00,151,normal
WN318,Southwest,B737,SAN,NPB,17:30,18:50,137,normal
AA109,American,B737,MIA,NPB,18:15,19:30,145,normal
UA213,United,CRJ900,IAH,NPB,19:00,20:15,74,normal
DL446,Delta,E175,DTW,NPB,19:45,21:05,70,connecting
WN320,Southwest,B737,OAK,NPB,20:25,21:45,139,normal
AA111,American,A320,CLT,NPB,21:00,22:20,153,connecting
UA215,United,B737,EWR,NPB,21:40,23:00,146,high_priority
DL448,Delta,A320,JFK,NPB,22:15,23:35,149,normal
WN322,Southwest,B737,SMF,NPB,22:50,00:10,134,normal
AA113,American,CRJ900,AUS,NPB,23:20,00:35,75,normal
UA217,United,A320,IAD,NPB,23:55,01:15,150,connecting
DL450,Delta,E175,BOI,NPB,00:30,01:45,71,normal
WN324,Southwest,B737,PDX,NPB,01:10,02:30,136,normal
AA115,American,B737,BOS,NPB,01:50,03:10,143,high_priority
UA219,United,CRJ900,ABQ,NPB,02:30,03:45,73,normal
DL452,Delta,A320,MCO,NPB,03:15,04:35,150,connecting
WN326,Southwest,B737,ELP,NPB,04:00,05:20,132,normal
AA117,American,E175,SAT,NPB,04:45,06:00,70,normal
UA221,United,B737,CLE,NPB,05:30,06:50,141,normal
DL454,Delta,A320,BNA,NPB,06:10,07:30,147,normal
WN328,Southwest,B737,BUR,NPB,06:45,08:05,136,connecting
AA119,American,A320,JFK,NPB,07:30,08:50,154,high_priority
UA223,United,CRJ900,OMA,NPB,08:05,09:20,72,normal
DL456,Delta,E175,GEG,NPB,08:40,10:00,69,normal
WN330,Southwest,B737,DAL,NPB,09:25,10:45,141,normal
AA121,American,B737,STL,NPB,10:10,11:30,144,connecting
UA225,United,A320,BOS,NPB,10:55,12:15,149,normal
DL458,Delta,A320,LGA,NPB,11:40,13:00,155,high_priority
WN332,Southwest,B737,RNO,NPB,12:25,13:45,133,normal
AA123,American,CRJ900,TUS,NPB,13:10,14:25,74,normal
UA227,United,B737,MSY,NPB,13:55,15:15,142,normal
DL460,Delta,E175,CVG,NPB,14:40,16:00,71,connecting
WN334,Southwest,B737,ONT,NPB,15:25,16:45,138,normal
AA125,American,A320,DCA,NPB,16:10,17:30,152,high_priority
UA229,United,A320,MCO,NPB,16:55,18:15,147,connecting
DL462,Delta,B737,SEA,NPB,17:40,19:00,145,normal
WN336,Southwest,B737,AUS,NPB,18:25,19:45,140,normal
AA127,American,E175,OKC,NPB,19:10,20:25,68,normal
UA231,United,B737,SFO,NPB,19:55,21:15,143,connecting
DL464,Delta,A320,ATL,NPB,20:40,22:00,153,high_priority
WN338,Southwest,B737,LAS,NPB,21:25,22:45,137,normal
